Indices,GC,LC
"(0, 0, 0, 1, 0, 0, 1, 0)",8.786737688772723,1.25
"(0, 0, 0, 1, 0, 0, 1, 1)",10.319941666468157,1.375
"(0, 0, 0, 1, 0, 0, 1, 2)",9.427888504356334,1.5
"(0, 0, 0, 1, 0, 0, 1, 3)",10.39119126883103,1.625
"(0, 0, 0, 1, 0, 0, 2, 0)",9.667608847902306,1.375
"(0, 0, 0, 1, 0, 0, 2, 1)",10.797345048838784,1.5
"(0, 0, 0, 1, 0, 0, 2, 2)",9.586295489858895,1.625
"(0, 0, 0, 1, 0, 0, 2, 3)",10.872794636505722,1.75
"(0, 0, 0, 1, 0, 0, 3, 0)",8.880221685864809,1.5
"(0, 0, 0, 1, 0, 0, 3, 1)",10.336777739621628,1.625
"(0, 0, 0, 1, 0, 0, 3, 2)",9.216912626593556,1.75
"(0, 0, 0, 1, 0, 0, 3, 3)",10.468145848499674,1.875
"(0, 0, 0, 1, 0, 1, 0, 0)",9.816674521356521,1.25
"(0, 0, 0, 1, 0, 1, 0, 1)",10.711311435344976,1.375
"(0, 0, 0, 1, 0, 1, 0, 2)",9.958210339070732,1.5
"(0, 0, 0, 1, 0, 1, 0, 3)",10.804198707377216,1.625
"(0, 0, 0, 1, 0, 1, 1, 0)",8.824494796581671,1.375
"(0, 0, 0, 1, 0, 1, 1, 1)",9.915620566715626,1.5
"(0, 0, 0, 1, 0, 1, 1, 2)",8.854391039151484,1.625
"(0, 0, 0, 1, 0, 1, 1, 3)",9.42859779100472,1.75
"(0, 0, 0, 1, 0, 1, 2, 0)",9.48139493077927,1.5
"(0, 0, 0, 1, 0, 1, 2, 1)",10.169052924154265,1.625
"(0, 0, 0, 1, 0, 1, 2, 2)",8.78882699972206,1.75
"(0, 0, 0, 1, 0, 1, 2, 3)",9.686230133747427,1.875
"(0, 0, 0, 1, 0, 1, 3, 0)",9.315692854014154,1.625
"(0, 0, 0, 1, 0, 1, 3, 1)",10.33017070020949,1.75
"(0, 0, 0, 1, 0, 1, 3, 2)",9.041129221729102,1.875
"(0, 0, 0, 1, 0, 1, 3, 3)",9.903266431013755,2.0
"(0, 0, 0, 1, 0, 2, 0, 0)",8.56890676231643,1.375
"(0, 0, 0, 1, 0, 2, 0, 1)",10.078469800258599,1.5
"(0, 0, 0, 1, 0, 2, 0, 2)",9.178463513731181,1.625
"(0, 0, 0, 1, 0, 2, 0, 3)",10.091066514115077,1.75
"(0, 0, 0, 1, 0, 2, 1, 0)",8.01607611118338,1.5
"(0, 0, 0, 1, 0, 2, 1, 1)",9.72212800527105,1.625
"(0, 0, 0, 1, 0, 2, 1, 2)",8.513993287453735,1.75
"(0, 0, 0, 1, 0, 2, 1, 3)",9.154814671384381,1.875
"(0, 0, 0, 1, 0, 2, 2, 0)",9.067543304111735,1.625
"(0, 0, 0, 1, 0, 2, 2, 1)",10.370127421440445,1.75
"(0, 0, 0, 1, 0, 2, 2, 2)",8.842996306755065,1.875
"(0, 0, 0, 1, 0, 2, 2, 3)",9.807014072857845,2.0
"(0, 0, 0, 1, 0, 2, 3, 0)",8.579060111548747,1.75
"(0, 0, 0, 1, 0, 2, 3, 1)",10.2084640816978,1.875
"(0, 0, 0, 1, 0, 2, 3, 2)",8.772517412964234,2.0
"(0, 0, 0, 1, 0, 2, 3, 3)",9.701269254326302,2.125
"(0, 0, 0, 1, 0, 3, 0, 0)",8.605947197671401,1.5
"(0, 0, 0, 1, 0, 3, 0, 1)",9.764559920175737,1.625
"(0, 0, 0, 1, 0, 3, 0, 2)",8.852384302648884,1.75
"(0, 0, 0, 1, 0, 3, 0, 3)",9.814371035800967,1.875
"(0, 0, 0, 1, 0, 3, 1, 0)",7.989015220698114,1.625
"(0, 0, 0, 1, 0, 3, 1, 1)",9.344116799347947,1.75
"(0, 0, 0, 1, 0, 3, 1, 2)",8.123812750531203,1.875
"(0, 0, 0, 1, 0, 3, 1, 3)",8.81401786723003,2.0
"(0, 0, 0, 1, 0, 3, 2, 0)",8.877733047683243,1.75
"(0, 0, 0, 1, 0, 3, 2, 1)",9.82936684957412,1.875
"(0, 0, 0, 1, 0, 3, 2, 2)",8.290066403889305,2.0
"(0, 0, 0, 1, 0, 3, 2, 3)",9.303467902760268,2.125
"(0, 0, 0, 1, 0, 3, 3, 0)",8.435967130172369,1.875
"(0, 0, 0, 1, 0, 3, 3, 1)",9.714420784883586,2.0
"(0, 0, 0, 1, 0, 3, 3, 2)",8.26630478515059,2.125
"(0, 0, 0, 1, 0, 3, 3, 3)",9.244440359280839,2.25
"(0, 0, 0, 1, 1, 0, 0, 0)",10.037493263554465,1.25
"(0, 0, 0, 1, 1, 0, 0, 1)",11.003101562087693,1.375
"(0, 0, 0, 1, 1, 0, 0, 2)",10.836646652864275,1.5
"(0, 0, 0, 1, 1, 0, 0, 3)",12.097516903729215,1.625
"(0, 0, 0, 1, 1, 0, 1, 0)",8.95175757843835,1.375
"(0, 0, 0, 1, 1, 0, 1, 1)",10.113854733117073,1.5
"(0, 0, 0, 1, 1, 0, 1, 2)",9.639271392603767,1.625
"(0, 0, 0, 1, 1, 0, 1, 3)",10.628360027015452,1.75
"(0, 0, 0, 1, 1, 0, 2, 0)",9.575447640269806,1.5
"(0, 0, 0, 1, 1, 0, 2, 1)",10.334077018189571,1.625
"(0, 0, 0, 1, 1, 0, 2, 2)",9.540497280808196,1.75
"(0, 0, 0, 1, 1, 0, 2, 3)",10.852782297392016,1.875
"(0, 0, 0, 1, 1, 0, 3, 0)",9.070719681734758,1.625
"(0, 0, 0, 1, 1, 0, 3, 1)",10.156168912474865,1.75
"(0, 0, 0, 1, 1, 0, 3, 2)",9.453773621045308,1.875
"(0, 0, 0, 1, 1, 0, 3, 3)",10.730792712888414,2.0
"(0, 0, 0, 1, 1, 1, 0, 0)",10.207766055611913,1.375
"(0, 0, 0, 1, 1, 1, 0, 1)",10.73129614658366,1.5
"(0, 0, 0, 1, 1, 1, 0, 2)",10.395664871907927,1.625
"(0, 0, 0, 1, 1, 1, 0, 3)",11.267439110151406,1.75
"(0, 0, 0, 1, 1, 1, 1, 0)",9.172612720926217,1.5
"(0, 0, 0, 1, 1, 1, 1, 1)",9.892631668043455,1.625
"(0, 0, 0, 1, 1, 1, 1, 2)",9.24887196207783,1.75
"(0, 0, 0, 1, 1, 1, 1, 3)",9.848864583868055,1.875
